# These are DE genes for all 3 cells types with a 
# p value of less than 0.05.  
> aCTB	M
16771680	-1.577363875
17035880	5.054732125
17038596	5.054732125
17041225	5.054732125
17114970	-3.396038
17007292	2.47542125
16671187	1.674168375
17106997	-1.559462375
17109432	1.437521375
17013795	2.144180375
17007352	1.451550125
17031219	1.451550125
17041318	1.451550125
17044692	2.22011775
16846163	1.842408
16792211	1.44392
16919912	-2.561745625
16879791	1.16261225
17117420	-4.00227925
17023517	1.324183
16683271	-0.810740625
16814693	0.875507
17020019	-1.06995125
16989380	1.053495875
16667481	2.00812625
16786650	-1.996986625
17109340	1.43803925
16715200	1.87185725
16799315	2.218695125
16903931	1.034783
16826755	1.173470375
17053421	1.190327125
17033646	2.766758
16912472	1.108806125
16732584	1.667899125
16713019	1.286234875
16779958	1.360963875
16702790	-1.810112625
16974779	-0.880292375
16712825	-2.803291
16819469	1.013395125
16828327	-0.856307
16960304	4.32439575
17021092	-1.3921575
17041260	2.309204
16929573	-1.279480375
17003640	1.600611625
16730522	1.765073125
16786625	-1.072459875
16985491	-2.302575875
16982047	1.498556375
16872926	-2.287113375
16809610	1.400292
16924327	-1.2672255
16943763	-1.821835125
17089119	1.150839
17072943	-1.614493
17050134	1.857666625
16749583	-1.166557625
16773348	-0.9782135
17047176	-1.363398875
16668622	2.817383625
16956002	1.331962875
17029712	2.06551975
17039914	2.06551975
16904152	1.853129875
17103931	-1.579131125
16876017	-1.810899875
16760714	1.393286625
17091502	1.422156125
17038629	2.550355125
16883690	4.4992065
16970762	-2.96468325
16716478	3.989747625
16713562	1.310209375
16688386	-2.14740925
17011522	-1.534648625
16675323	2.298209
16846800	-1.24024
16714944	0.9868355
16683221	1.415603
16841907	1.63054625
17064105	-1.35333725
16825371	1.341944
16670739	1.591324375
16917912	3.463387375
17106051	1.388004875
16857886	-1.1719915
16687188	-0.940579875
16740524	1.025261
16938562	1.187043125
16966514	-1.9404
17006911	1.141342
16776017	-2.250099625
16990862	1.59335225
17012100	2.63109475
17006087	1.073845375
16679020	-0.838988
